Architecture    Offer                                      Publisher    Sku                                  Urn                                                                                                   Version
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202503250            20.04.202503250
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202503270            20.04.202503270
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202504010            20.04.202504010
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202504250            20.04.202504250
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202505070            20.04.202505070
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202505160            20.04.202505160
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202505200            20.04.202505200
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202505230            20.04.202505230
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202207180                             22.04.202207180
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202208100                             22.04.202208100
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202209060                             22.04.202209060
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202209210                             22.04.202209210
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202210180                             22.04.202210180
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202211010                             22.04.202211010
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202211160                             22.04.202211160
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202212010                             22.04.202212010
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202212120                             22.04.202212120
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202301090                             22.04.202301090
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202301121                             22.04.202301121
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202302070                             22.04.202302070
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202302100                             22.04.202302100
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202303080                             22.04.202303080
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202303280                             22.04.202303280
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202304180                             22.04.202304180
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202304280                             22.04.202304280
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202305150                             22.04.202305150
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202305300                             22.04.202305300
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202306180                             22.04.202306180
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202306190                             22.04.202306190
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202306210                             22.04.202306210
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202306280                             22.04.202306280
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202307140                             22.04.202307140
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202307240                             22.04.202307240
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202308100                             22.04.202308100
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202308120                             22.04.202308120
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202309070                             22.04.202309070
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202309190                             22.04.202309190
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202310030                             22.04.202310030
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202310200                             22.04.202310200
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202310250                             22.04.202310250
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202310300                             22.04.202310300
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202311300                             22.04.202311300
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202312050                             22.04.202312050
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202401150                             22.04.202401150
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202401241                             22.04.202401241
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202401250                             22.04.202401250
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202402050                             22.04.202402050
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202402260                             22.04.202402260
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202402290                             22.04.202402290
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202403071                             22.04.202403071
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202404030                             22.04.202404030
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202404100                             22.04.202404100
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202404260                             22.04.202404260
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202404261                             22.04.202404261
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202405131                             22.04.202405131
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202406060                             22.04.202406060
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202406130                             22.04.202406130
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202406260                             22.04.202406260
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202406270                             22.04.202406270
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202407010                             22.04.202407010
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202407150                             22.04.202407150
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202407250                             22.04.202407250
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202407310                             22.04.202407310
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202408300                             22.04.202408300
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202409030                             22.04.202409030
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202409130                             22.04.202409130
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202409220                             22.04.202409220
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202409260                             22.04.202409260
x64             0001-com-ubuntu-minimal-jammy              Canonical    minimal-22_04-lts                    Canonical:0001-com-ubuntu-minimal-jammy:minimal-22_04-lts:22.04.202410230                             22.04.202410230
